Epoch: [1/100], Step: [101/313], Validation Acc: 57.74
Epoch: [1/100], Step: [101/313], Train Acc: 55.49
Epoch: [1/100], Step: [201/313], Validation Acc: 80.24
Epoch: [1/100], Step: [201/313], Train Acc: 73.06
Epoch: [1/100], Step: [301/313], Validation Acc: 81.16
Epoch: [1/100], Step: [301/313], Train Acc: 79.02
Epoch: [2/100], Step: [101/313], Validation Acc: 80.98
Epoch: [2/100], Step: [101/313], Train Acc: 92.90
Epoch: [2/100], Step: [201/313], Validation Acc: 81.3
Epoch: [2/100], Step: [201/313], Train Acc: 92.88
Epoch: [2/100], Step: [301/313], Validation Acc: 81.04
Epoch: [2/100], Step: [301/313], Train Acc: 91.16
Epoch: [3/100], Step: [101/313], Validation Acc: 81.02
Epoch: [3/100], Step: [101/313], Train Acc: 98.28
Epoch: [3/100], Step: [201/313], Validation Acc: 81.08
Epoch: [3/100], Step: [201/313], Train Acc: 99.36
Epoch: [3/100], Step: [301/313], Validation Acc: 80.3
Epoch: [3/100], Step: [301/313], Train Acc: 98.83
Epoch: [4/100], Step: [101/313], Validation Acc: 80.96
Epoch: [4/100], Step: [101/313], Train Acc: 99.88
Epoch: [4/100], Step: [201/313], Validation Acc: 80.74
Epoch: [4/100], Step: [201/313], Train Acc: 99.92
Epoch: [4/100], Step: [301/313], Validation Acc: 80.48
Epoch: [4/100], Step: [301/313], Train Acc: 99.92
Epoch: [5/100], Step: [101/313], Validation Acc: 80.6
Epoch: [5/100], Step: [101/313], Train Acc: 99.99
Epoch: [5/100], Step: [201/313], Validation Acc: 80.3
Epoch: [5/100], Step: [201/313], Train Acc: 100.00
Epoch: [5/100], Step: [301/313], Validation Acc: 80.32
Epoch: [5/100], Step: [301/313], Train Acc: 99.98
Epoch: [6/100], Step: [101/313], Validation Acc: 80.3
Epoch: [6/100], Step: [101/313], Train Acc: 100.00
Epoch: [6/100], Step: [201/313], Validation Acc: 80.42
Epoch: [6/100], Step: [201/313], Train Acc: 100.00
Epoch: [6/100], Step: [301/313], Validation Acc: 80.6
Epoch: [6/100], Step: [301/313], Train Acc: 99.98
Epoch: [7/100], Step: [101/313], Validation Acc: 80.28
Epoch: [7/100], Step: [101/313], Train Acc: 100.00
Epoch: [7/100], Step: [201/313], Validation Acc: 80.34
Epoch: [7/100], Step: [201/313], Train Acc: 100.00
Epoch: [7/100], Step: [301/313], Validation Acc: 80.3
Epoch: [7/100], Step: [301/313], Train Acc: 100.00
Epoch: [8/100], Step: [101/313], Validation Acc: 80.22
Epoch: [8/100], Step: [101/313], Train Acc: 100.00
Epoch: [8/100], Step: [201/313], Validation Acc: 80.32
Epoch: [8/100], Step: [201/313], Train Acc: 100.00
Epoch: [8/100], Step: [301/313], Validation Acc: 80.22
Epoch: [8/100], Step: [301/313], Train Acc: 100.00
Epoch: [9/100], Step: [101/313], Validation Acc: 80.34
Epoch: [9/100], Step: [101/313], Train Acc: 100.00
Epoch: [9/100], Step: [201/313], Validation Acc: 80.18
Epoch: [9/100], Step: [201/313], Train Acc: 100.00
Epoch: [9/100], Step: [301/313], Validation Acc: 80.18
Epoch: [9/100], Step: [301/313], Train Acc: 100.00
Epoch: [10/100], Step: [101/313], Validation Acc: 80.28
Epoch: [10/100], Step: [101/313], Train Acc: 100.00
Epoch: [10/100], Step: [201/313], Validation Acc: 80.28
Epoch: [10/100], Step: [201/313], Train Acc: 100.00
Epoch: [10/100], Step: [301/313], Validation Acc: 80.26
Epoch: [10/100], Step: [301/313], Train Acc: 100.00
Epoch: [11/100], Step: [101/313], Validation Acc: 80.24
Epoch: [11/100], Step: [101/313], Train Acc: 100.00
Epoch: [11/100], Step: [201/313], Validation Acc: 80.14
Epoch: [11/100], Step: [201/313], Train Acc: 100.00
Epoch: [11/100], Step: [301/313], Validation Acc: 79.98
Epoch: [11/100], Step: [301/313], Train Acc: 100.00
Epoch: [12/100], Step: [101/313], Validation Acc: 80.22
Epoch: [12/100], Step: [101/313], Train Acc: 100.00
Epoch: [12/100], Step: [201/313], Validation Acc: 80.24
Epoch: [12/100], Step: [201/313], Train Acc: 100.00
Epoch: [12/100], Step: [301/313], Validation Acc: 80.04
Epoch: [12/100], Step: [301/313], Train Acc: 100.00
Epoch: [13/100], Step: [101/313], Validation Acc: 80.08
Epoch: [13/100], Step: [101/313], Train Acc: 100.00
Epoch: [13/100], Step: [201/313], Validation Acc: 79.78
Epoch: [13/100], Step: [201/313], Train Acc: 100.00
Epoch: [13/100], Step: [301/313], Validation Acc: 80.0
Epoch: [13/100], Step: [301/313], Train Acc: 100.00
Epoch: [14/100], Step: [101/313], Validation Acc: 80.02
Epoch: [14/100], Step: [101/313], Train Acc: 100.00
Epoch: [14/100], Step: [201/313], Validation Acc: 80.0
Epoch: [14/100], Step: [201/313], Train Acc: 100.00
Epoch: [14/100], Step: [301/313], Validation Acc: 80.02
Epoch: [14/100], Step: [301/313], Train Acc: 100.00
Epoch: [15/100], Step: [101/313], Validation Acc: 79.92
Epoch: [15/100], Step: [101/313], Train Acc: 100.00
Epoch: [15/100], Step: [201/313], Validation Acc: 79.9
Epoch: [15/100], Step: [201/313], Train Acc: 100.00
Epoch: [15/100], Step: [301/313], Validation Acc: 79.98
Epoch: [15/100], Step: [301/313], Train Acc: 100.00
Epoch: [16/100], Step: [101/313], Validation Acc: 79.88
Epoch: [16/100], Step: [101/313], Train Acc: 100.00
Epoch: [16/100], Step: [201/313], Validation Acc: 79.9
Epoch: [16/100], Step: [201/313], Train Acc: 100.00
Epoch: [16/100], Step: [301/313], Validation Acc: 80.02
Epoch: [16/100], Step: [301/313], Train Acc: 100.00
Epoch: [17/100], Step: [101/313], Validation Acc: 80.1
Epoch: [17/100], Step: [101/313], Train Acc: 100.00
Epoch: [17/100], Step: [201/313], Validation Acc: 80.06
Epoch: [17/100], Step: [201/313], Train Acc: 100.00
Epoch: [17/100], Step: [301/313], Validation Acc: 80.06
Epoch: [17/100], Step: [301/313], Train Acc: 100.00
Epoch: [18/100], Step: [101/313], Validation Acc: 80.02
Epoch: [18/100], Step: [101/313], Train Acc: 100.00
Epoch: [18/100], Step: [201/313], Validation Acc: 79.88
Epoch: [18/100], Step: [201/313], Train Acc: 100.00
Epoch: [18/100], Step: [301/313], Validation Acc: 79.78
Epoch: [18/100], Step: [301/313], Train Acc: 100.00
Epoch: [19/100], Step: [101/313], Validation Acc: 79.84
Epoch: [19/100], Step: [101/313], Train Acc: 100.00
Epoch: [19/100], Step: [201/313], Validation Acc: 80.0
Epoch: [19/100], Step: [201/313], Train Acc: 100.00
